20091116, SOS TOTAL - EMERGENCIAS + RMM, 0.00, 4.95 
20091023, MASTER VIDEO BLVD SUYAPA R4, 45.00, 0.00 
20091024, MC DONALD JP II, 84.00, 0.00 
20091025, INDUFESA DO IT CENTER       R2, 63.84, 0.00 
20091026, DIPPSA LAS LOMAS, 730.00, 0.00 
20091027, INDUFESA DO IT CENTER       R2, 131.04, 0.00 
20091027, CINEMARK, 120.00, 0.00 
20091027, CINEMARK, 116.00, 0.00 
20091028, PIZERIA LA FONTANA       Tegucigalpa, 241.88, 0.00 
20091030, SU PAGO RECIBIDO GRACIAS, -2000.00, 0.00 
20091030, G-BOX          TEGA, 1219.91, 0.00 
20091031, WENDYS #2               TEGUCIGALPA, 94.00, 0.00 
20091102, HOSTGATOR COM            713-5745287, 0.00, 9.95 
20091103, USAMI                    TEGUCIGALPA, 683.20, 0.00 
20091105, POLLO CAMPERO 15, 185.00, 0.00 
20091106, SU PAGO RECIBIDO GRACIAS, -9739.00, 0.00 
20091106, SU PAGO RECIBIDO GRACIAS, -3714.00, 0.00 
20091106, SU PAGO RECIBIDO GRACIAS, 0.00, -196.00 
20091106, SU PAGO RECIBIDO GRACIAS, 0.00, -11.00 
20091106, MC DONALD JP II, 84.00, 0.00 
20091107, SEGUROS CREFISA, 5535.56, 0.00 
20091110, SU PAGO RECIBIDO GRACIAS, -5536.00, 0.00 
20091110, SU PAGO RECIBIDO GRACIAS, -84.00, 0.00 
20091110, SU PAGO RECIBIDO GRACIAS, -131.00, 0.00 
20091110, DIPPSA LAS LOMAS, 630.00, 0.00 
20091113, ESPRESSO A CASTAÑO LOCAL, 34.00, 0.00 
20091114, SU PAGO RECIBIDO GRACIAS, -533.00, 0.00 
20091115, TOYOSERVICIOS EXPRESS      R1, 2271.02, 0.00 
20091116, RESTAURANTE CASA MEXICANA, 700.00, 0.00 
20091117, SU PAGO RECIBIDO GRACIAS, -2272.00, 0.00 
20091117, SU PAGO RECIBIDO GRACIAS, -699.00, 0.00 
20091122, TIENDAS CARRION UNICENTROTEGUCIGALPA, 539.00, 0.00 
20091123, CINEMARK, 120.00, 0.00 
