20091201, COBERTURA DE SALDO ANUAL, 0.00, 25.00 
20091216, SOS TOTAL - EMERGENCIAS + RMM, 0.00, 4.95 
20091129, DIPPSA LAS LOMAS, 350.00, 0.00 
20091202, CLARO    CAE 0582 46475 CLARO, 392.15, 0.00 
20091202, HOSTGATOR COM            713-5745287, 0.00, 9.95 
20091210, SU PAGO RECIBIDO GRACIAS, -658.00, 0.00 
20091210, SU PAGO RECIBIDO GRACIAS, 0.00, -4.00 
20091212, DIPPSA LAS LOMAS, 550.00, 0.00 
20091220, SU PAGO RECIBIDO GRACIAS, -1691.00, 0.00 
20091220, TOYOPARTES                  R1, 1690.81, 0.00 
20091221, CINEMARK, 120.00, 0.00 
20091224, PALACIO DE LA MUSICA MALL TEG, 295.00, 0.00 
20091224, DEEP SEA SPA, 350.00, 0.00 
20091224, PORTICO, 163.50, 0.00 
20091224, QUIZNOS SUB MALL MULTIPLAZA, 168.00, 0.00 
20091224, TOTTO MALL TEG, 150.00, 0.00 
20091224, FULL STORE, 59.00, 0.00 
